case,exposure,step,n_detected,threshold_used,area_sigma,margin
clean,0.0,26,6,0.07963032673155578,0.129315219135857,1.623944349390848
clean,0.0,27,6,0.07963032673155578,0.12979385086932177,1.629955020866281
clean,0.0,28,6,0.07963032673155578,0.1302327539453084,1.6354667786852113
clean,0.0,29,6,0.07963032673155578,0.13062634382624438,1.640409492059512
clean,0.0,30,6,0.07963032673155578,0.1309869002837597,1.6449373707247696
clean,0.0,31,6,0.07963032673155578,0.13130289920866484,1.6489056945766911
clean,0.0,32,6,0.07963032673155578,0.13160203358820888,1.6526622329688099
clean,0.0,33,6,0.07963032673155578,0.13190086295530037,1.6564149410055216
clean,0.0,34,6,0.07963032673155578,0.13215829502961254,1.65964778061423
clean,0.0,35,6,0.07963032673155578,0.1322944937165208,1.6613581677556442
clean,0.0,36,6,0.07963032673155578,0.13248201449655445,1.6637130592615625
clean,0.0,37,6,0.07963032673155578,0.13268783204980142,1.6662977221870434
clean,0.0,38,6,0.07963032673155578,0.13284885306006364,1.6683198287998298
clean,0.0,39,6,0.07963032673155578,0.1329917549502959,1.6701143949669885
clean,0.0,40,6,0.07963032673155578,0.13312620574546286,1.6718028320321814
clean,0.0,41,6,0.07963032673155578,0.1332433865463407,1.6732743919979323
clean,0.0,42,6,0.07963032673155578,0.13335685874730002,1.6746993792561393
clean,0.0,43,6,0.07963032673155578,0.13345532034329594,1.6759358628929306
clean,0.0,44,6,0.07963032673155578,0.13353903116078292,1.6769871058166121
clean,0.0,45,6,0.07963032673155578,0.13361325396534496,1.677919197993155
clean,0.0,46,6,0.07963032673155578,0.13367277675857203,1.6786666869922613
clean,0.0,47,6,0.07963032673155578,0.13373069888139916,1.6793940747251082
clean,0.0,48,6,0.07963032673155578,0.13378619523410137,1.6800909995649282
clean,0.0,49,6,0.07963032673155578,0.13384356855123553,1.6808114953796394
clean,0.0,50,6,0.07963032673155578,0.13390067192970062,1.6815286012965545
clean,0.0,51,6,0.07963032673155578,0.13395350092381517,1.682192029368282
clean,0.0,52,6,0.07963032673155578,0.1339998023185068,1.6827734836532522
clean,0.0,53,6,0.07963032673155578,0.13403991774181398,1.6832772543264833
clean,0.0,54,6,0.07963032673155578,0.13407223730806697,1.6836831243960857
clean,0.0,55,6,0.07963032673155578,0.13409886193823958,1.6840174772898313
clean,0.0,56,6,0.07963032673155578,0.1341251120702821,1.684347127224975
clean,0.0,57,6,0.07963032673155578,0.13414520570397326,1.6845994636716015
clean,0.0,58,6,0.07963032673155578,0.1341632585663751,1.684826172051974
clean,0.0,59,6,0.07963032673155578,0.13417859167988389,1.6850187257452482
clean,0.0,60,6,0.07963032673155578,0.13418967384194502,1.6851578958644227
clean,0.0,61,6,0.07963032673155578,0.1341983261651466,1.6852665519952803
clean,0.0,62,6,0.07963032673155578,0.13420856247525295,1.6853950998805711
clean,0.0,63,6,0.07963032673155578,0.13421623717589745,1.685491478998421
clean,0.0,64,6,0.07963032673155578,0.1342225655604706,1.6855709510391987
clean,0.0,65,6,0.07963032673155578,0.1342287767165655,1.6856489509212769
clean,0.0,66,6,0.07963032673155578,0.13423320776791065,1.6857045961952197
clean,0.0,67,6,0.07963032673155578,0.13423598265778033,1.6857394433443347
clean,0.0,68,6,0.07963032673155578,0.13424024782712862,1.6857930054672514
clean,0.0,69,6,0.07963032673155578,0.1342444895745842,1.6858462734573463
clean,0.0,70,6,0.07963032673155578,0.13424833262800254,1.6858945346359206
clean,0.0,71,6,0.07963032673155578,0.1342535043828784,1.6859594816867256
clean,0.0,72,6,0.07963032673155578,0.13425986889105768,1.6860394073688183
clean,0.0,73,6,0.07963032673155578,0.1342637218319373,1.6860877927144244
clean,0.0,74,6,0.07963032673155578,0.13426724083767996,1.6861319844926965
clean,0.0,75,6,0.07963032673155578,0.13427215872756545,1.6861937434994387
clean,0.0,76,6,0.07963032673155578,0.13427490155660138,1.6862281880276544
clean,0.0,77,6,0.07963032673155578,0.1342801472666818,1.6862940638101072
clean,0.0,78,6,0.07963032673155578,0.13428183804834298,1.6863152966962522
clean,0.0,79,6,0.07963032673155578,0.1342870905489354,1.6863812577541557
clean,0.0,80,6,0.07963032673155578,0.13428877638817527,1.6864024285732275
clean,0.0,81,6,0.07963032673155578,0.13429288583767676,1.6864540351616992
clean,0.0,82,6,0.07963032673155578,0.13429510386483637,1.686481889212419
clean,0.0,83,6,0.07963032673155578,0.13429497139970023,1.6864802257113185
